m1	83.7	22.02	6300	nebula
m2	323.4	-0.82	36200	cluster
m3	205.5	28.38	30600	cluster
m4	245.85	-26.53	6800	cluster
m5	229.65	2.08	22800	cluster
m6	265.05	-32.25	2000	cluster
m7	268.5	-34.79	800	cluster
m8	270.9	-24.38	5200	nebula
m9	259.8	-18.52	26400	cluster
m10	254.25	-4.1	13400	cluster
m11	282.75	-6.27	6000	cluster
m12	251.85	-1.95	17600	cluster
m13	250.5	36.46	22800	cluster
m14	264.45	-3.25	27400	cluster
m15	322.5	12.17	33600	cluster
m16	274.65	-13.81	7000	nebula
m17	268.5	-34.79	5000	nebula
m18	274.95	-17.1	4900	cluster
m19	255.6	-26.27	27100	cluster
m20	270.6	-23.03	5200	nebula
m21	271.05	-22.49	4250	cluster
m22	73.05	-23.9	10100	cluster
m23	269.25	-18.99	2150	cluster
m24	274.2	-18.48	10000	cluster
m25	277.95	-19.12	2000	cluster
m26	281.25	-9.38	500	cluster
m27	299.85	22.72	1250	nebula
m28	276.15	-24.87	17900	cluster
m29	306	38.51	4000	cluster
m30	325.05	-23.18	24800	cluster
m31	10.65	41.27	2900000	galaxy
m32	10.65	40.87	2900000	galaxy
m33	23.55	30.65	3000000	galaxy
m34	40.5	42.76	1400	cluster
m35	92.25	24.35	2800	cluster
m36	84.15	34.14	4100	cluster
m37	88.05	32.55	4400	cluster
m38	82.2	35.85	4200	cluster
m39	322.95	48.43	825	cluster
m40	185.55	58.08	510	cluster
m41	101.55	-20.76	2300	cluster
m42	83.85	-5.45	1600	nebula
m43	83.85	-5.27	1600	nebula
m44	130.05	19.98	577	cluster
m45	56.7	24.12	380	cluster
m46	115.5	-14.81	5400	cluster
m47	114.15	-14.48	1600	cluster
m48	123.45	-5.75	1500	cluster
m49	187.5	8	60000000	galaxy
m50	105.75	-8.38	3000	cluster
m51	202.5	47.2	37000000	galaxy
m52	351.15	61.59	5000	cluster
m53	198.3	18.17	56400	cluster
m54	283.8	-30.48	82800	cluster
m55	295.05	-30.96	16600	cluster
m56	289.2	30.19	31600	cluster
m57	283.35	33.03	4100	nebula
m58	189.45	11.83	60000000	galaxy
m59	190.5	11.64	60000000	galaxy
m60	190.95	11.56	60000000	galaxy
m61	185.55	4.47	60000000	galaxy
m62	255.3	-30.11	21500	cluster
m63	198.9	42.03	37000000	galaxy
m64	194.25	21.68	19000000	galaxy
m65	169.8	13.08	35000000	galaxy
m66	170.1	12.98	35000000	galaxy
m67	132.9	11.8	2700	cluster
m68	189.9	-26.74	33300	cluster
m69	277.8	-32.35	26700	cluster
m70	280.8	-32.29	2800	cluster
m71	298.5	18.78	11700	cluster
m72	313.35	-12.54	52800	cluster
m73	314.7	-12.63	1000	cluster
m74	24.15	15.78	35000000	galaxy
m75	301.5	-21.92	57700	nebula
m76	25.65	51.57	3400	nebula
m77	40.65	-0.02	60000000	galaxy
m78	86.7	0.05	1600	nebula
m79	81	-24.52	41100	cluster
